State,Year,Category,SubCat,Value
Colorado,2020,Expenditure,Other,3163.454784
Colorado,2020,HP,Housing Prices,548161.9099
Colorado,2021,TotalIncome,Income,43876.43261
Colorado,2021,Expenditure,Income Tax,16811.84967
Colorado,2021,Expenditure,Other,3806.139962
Colorado,2021,HP,Housing Prices,471860.9123
Connecticut,2012,TotalIncome,Income,34288.58565
Connecticut,2012,Expenditure,Income Tax,6141.834875
Connecticut,2012,Expenditure,Other,1633.739762
Connecticut,2012,HP,Housing Prices,391357.7837
Connecticut,2013,TotalIncome,Income,35950.34401
Connecticut,2013,Expenditure,Income Tax,6417.748848
Connecticut,2013,Expenditure,Other,1835.031797
Connecticut,2013,HP,Housing Prices,389882.4484
Connecticut,2014,TotalIncome,Income,34855.69632
Connecticut,2014,Expenditure,Income Tax,6465.435294
Connecticut,2014,Expenditure,Other,1912.196324
Connecticut,2014,HP,Housing Prices,342231.7533
Connecticut,2015,TotalIncome,Income,36233.56835
Connecticut,2015,Expenditure,Income Tax,6646.122302
Connecticut,2015,Expenditure,Other,2058.757031
Connecticut,2015,HP,Housing Prices,368547.2161
Connecticut,2016,TotalIncome,Income,38174.14665
Connecticut,2016,Expenditure,Income Tax,7405.166126
Connecticut,2016,Expenditure,Other,2169.823593
Connecticut,2016,HP,Housing Prices,404434.9319
Connecticut,2017,TotalIncome,Income,38712.93712
Connecticut,2017,Expenditure,Income Tax,6915.928296
Connecticut,2017,Expenditure,Other,2086.541092
Connecticut,2017,HP,Housing Prices,339321.5448
Connecticut,2018,TotalIncome,Income,38883.84787
Connecticut,2018,Expenditure,Income Tax,6761.529164
Connecticut,2018,Expenditure,Other,2203.102225
Connecticut,2018,HP,Housing Prices,347645.4083
Connecticut,2019,TotalIncome,Income,41810.5504
Connecticut,2019,Expenditure,Income Tax,21061.937
Connecticut,2019,Expenditure,Other,3274.892898
Connecticut,2019,HP,Housing Prices,388516.7445
Connecticut,2020,TotalIncome,Income,47903.45383
Connecticut,2020,Expenditure,Income Tax,25463.12071
Connecticut,2020,Expenditure,Other,3555.056069
Connecticut,2020,HP,Housing Prices,416293.0377
Connecticut,2021,TotalIncome,Income,46165.15748
Connecticut,2021,Expenditure,Income Tax,19784.05184
Connecticut,2021,Expenditure,Other,3656.893045
Connecticut,2021,HP,Housing Prices,421397.2744
Delaware,2012,TotalIncome,Income,25107.33648
Delaware,2012,Expenditure,Income Tax,3305.47385
Delaware,2012,Expenditure,Other,1137.18557
Delaware,2012,HP,Housing Prices,267486.7358
Delaware,2013,TotalIncome,Income,25310.96131
Delaware,2013,Expenditure,Income Tax,3139.294754
Delaware,2013,Expenditure,Other,1197.587213
Delaware,2013,HP,Housing Prices,246106.6622
Delaware,2014,TotalIncome,Income,30439.60387
Delaware,2014,Expenditure,Income Tax,4928.757637
Delaware,2014,Expenditure,Other,1470.783096
Delaware,2014,HP,Housing Prices,283237.0456
Delaware,2015,TotalIncome,Income,30080.22974
Delaware,2015,Expenditure,Income Tax,4704.64003
Delaware,2015,Expenditure,Other,1332.753237
Delaware,2015,HP,Housing Prices,249524.352
Delaware,2016,TotalIncome,Income,31076.5291
Delaware,2016,Expenditure,Income Tax,4891.521693
Delaware,2016,Expenditure,Other,1458.208995
Delaware,2016,HP,Housing Prices,247354.8289
Delaware,2017,TotalIncome,Income,31206.54686
Delaware,2017,Expenditure,Income Tax,4683.538339
Delaware,2017,Expenditure,Other,1550.053781
Delaware,2017,HP,Housing Prices,245655.6102
Delaware,2018,TotalIncome,Income,34639.14587
Delaware,2018,Expenditure,Income Tax,5441.921931
Delaware,2018,Expenditure,Other,1762.406266
Delaware,2018,HP,Housing Prices,262739.2266
Delaware,2019,TotalIncome,Income,36740.69755
Delaware,2019,Expenditure,Income Tax,15966.60596
Delaware,2019,Expenditure,Other,3986.42279
Delaware,2019,HP,Housing Prices,236082.1383
Delaware,2020,TotalIncome,Income,41136.88619
Delaware,2020,Expenditure,Income Tax,18829.98694
Delaware,2020,Expenditure,Other,3050.754975
